Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
UBE2S	1.53080092995042	2.29802976013857	11.5130300333659	7.6575372653458e-27	2.86195625866678e-25	50.0797004597658
PARP1	1.13483101336717	4.10734864883738	11.502124296801	8.42995131968135e-27	3.12854245469296e-25	49.9845245120741
ATXN7L3	1.07777724099446	2.99474018093493	11.4991020894632	8.65739888625127e-27	3.20652739948975e-25	49.9581575413974
PFDN2	1.09537691904132	6.12682872742696	11.4961507513046	8.88540388065925e-27	3.28440707516823e-25	49.9324123301296
MRPL24	1.21489443906051	5.96929961272751	11.4748801742605	1.07151930150168e-26	3.92163358587145e-25	49.7469656171728
HRAS	1.22723892074157	3.50491213836194	11.4654807464038	1.1638902890139e-26	4.25129867105491e-25	49.6650739583012
TRIM28	1.1855833429479	5.25255267099667	11.4596238279157	1.22541104865204e-26	4.45842577799355e-25	49.6140637595928
VPS28	1.29249204391503	5.13964668204942	11.4494622413354	1.33991998918933e-26	4.8559644383165e-25	49.5255947526065
IDUA	1.13503174517971	2.11357412458077	11.4439179320657	1.40682385150749e-26	5.06867138250336e-25	49.4773420411848
HGH1	1.31969662419814	3.83493821362181	11.43987465666	1.45770055551338e-26	5.2316194937117e-25	49.4421606805056
GHR	-2.05247858940762	2.80182267240647	-11.4262964742949	1.64233022938174e-26	5.86017601501359e-25	49.3240617057418
CCNB2	1.70740856751873	1.73275254802274	11.4151947839412	1.81043551588399e-26	6.42904224710557e-25	49.2275570524737
TCF3	1.17046392042576	2.4886149441921	11.4132430265186	1.84171108189094e-26	6.53384052213377e-25	49.2105959150074
HNRNPA1	1.11341152809736	5.66320845914732	11.3970317006841	2.12314734362888e-26	7.47501248225535e-25	49.0697752424768
IMPDH2	1.25942631603142	4.84928223063493	11.3969118884927	2.12537909001062e-26	7.47576360264135e-25	49.0687348775787
SMYD5	1.02778940642127	2.77096282096689	11.3926891409789	2.20554490252323e-26	7.75037685954986e-25	49.032071173516
PRUNE1	1.14440437477884	3.10248806958514	11.3902596420262	2.25302305547945e-26	7.894746256277e-25	49.0109804567373
CDK1	1.70864134679222	1.7842706864068	11.383170388681	2.39745505791981e-26	8.38498021107023e-25	48.9494514743625
SMARCD1	1.00668262674271	2.78959355813848	11.3777163263041	2.51481002158842e-26	8.77884388120566e-25	48.9021283396733
DVL2	1.01663015460287	2.01417584433578	11.376057782714	2.55161728835642e-26	8.89894549210405e-25	48.8877400599927
AHSA2P	1.03344969494726	1.61538887450995	11.3750549545536	2.5741320575118e-26	8.96902193284308e-25	48.8790408109889
SBF1	1.16927134172714	2.39993503599855	11.3441717852128	3.37319880972121e-26	1.16872345663661e-24	48.6113360942085
CUTA	1.14087550624623	6.3753560648063	11.335817606562	3.62889534239454e-26	1.25029791341032e-24	48.5389855797398
PLGLA	-1.68913743548471	1.35318697539702	-11.3307411935582	3.793593493833e-26	1.30582821398315e-24	48.4950355921802
HSF1	1.15962474950699	3.90471642778753	11.3108503677125	4.51375499456541e-26	1.53517408162272e-24	48.3229275647293
CETN2	1.02872646284823	3.87158797909314	11.2965404162351	5.11449615548713e-26	1.72996080919573e-24	48.1992080379392
MTERF3	1.02051589225627	3.24431295920935	11.2909780130486	5.36891432479174e-26	1.81270600511975e-24	48.1511396389854
IQGAP3	1.45141820307162	1.47249215925298	11.271694156641	6.35240009489743e-26	2.12730736631836e-24	47.9845926706861
NOP56	1.22026396090688	3.47097533920747	11.2477570289221	7.82575771454552e-26	2.60188881715742e-24	47.7780684877312
MND1	1.11530946751895	1.17521379835915	11.2042282137105	1.14288009726638e-25	3.72932979031288e-24	47.4031139892356
PMVK	1.11022856671455	5.95093498596622	11.2041325962102	1.14383029369713e-25	3.72932979031288e-24	47.4022912047584
TP53I3	1.74946605407774	3.25893656173871	11.1988816668608	1.19723567325704e-25	3.89317075207148e-24	47.3571129780773
MCM2	1.82595749039614	2.41796082579512	11.1918620953824	1.27252199747124e-25	4.12350566424671e-24	47.2967354032935
EIF3D	1.02287001492563	4.98688501510995	11.1852336104275	1.34792997257206e-25	4.36022972263091e-24	47.239740391696
TRIB1	-1.45057755925304	4.39950817767439	-11.1838098031902	1.36469872071607e-25	4.41062052512056e-24	47.2275001608519
RBP7	1.78192508419591	3.17428560787374	11.183420997999	1.36931379053953e-25	4.42167778326094e-24	47.2241578140388
MT1E	-4.03684957406072	5.04596307921631	-11.1764495411138	1.45474889304091e-25	4.69346598435969e-24	47.1642386165358
NTAQ1	1.09426614190486	2.15802377590795	11.1756664949271	1.46467031639081e-25	4.72136285278354e-24	47.15750964592
TAGLN2	1.41409159768579	6.96477499784977	11.1700190623735	1.5382458489462e-25	4.94133128822805e-24	47.1089869503289
YIF1B	1.04772322758377	3.77046237586765	11.1683721920369	1.56038563504669e-25	5.00377170137309e-24	47.0948395452285
H2AX	1.61352989474381	3.69526799010232	11.1659533411711	1.59347939561908e-25	5.10547490094633e-24	47.0740624985125
FBXL6	1.23431124859338	2.96714905896038	11.1455808404581	1.9013895197057e-25	6.04494978805662e-24	46.8991666328245
DUT	1.08442991087166	3.23716576243927	11.1426425518181	1.95043217558838e-25	6.17964986479406e-24	46.873955973372
MT2A	-3.13054781582057	7.39581788261487	-11.1409787521975	1.97875822764029e-25	6.26403822524281e-24	46.8596820870913
CBX1	1.18455421717083	3.22147781852179	11.135591806367	2.07330726793618e-25	6.55214629605973e-24	46.8134749133598
PYCR3	1.17283185246144	2.99111800637992	11.1326303007727	2.12718632177488e-25	6.70525336050194e-24	46.7880774009632
C19orf48	1.49147842549547	3.65507157959183	11.1306238297466	2.16447933939952e-25	6.81700559291491e-24	46.7708722293426
CDT1	1.66588719987436	1.75520759451347	11.1192083523562	2.38936404879697e-25	7.4618267824066e-24	46.6730183199446
