Cell1	Cell2	cor	p.value
Plasmacytoid dendritic cell	Gamma delta T cell	0.371637152400588	2.47898176413835e-13
Regulatory T cell	Gamma delta T cell	0.6539698372948	1.14825861020013e-45
T follicular helper cell	Gamma delta T cell	0.561187180473971	1.66437494349496e-31
Type 1 T helper cell	Gamma delta T cell	0.603368254046305	2.27868080308811e-37
Type 17 T helper cell	Gamma delta T cell	0.200386002746626	0.000121165833540716
Type 2 T helper cell	Gamma delta T cell	0.391942562711021	8.89102600793916e-15
riskScore	Gamma delta T cell	-0.0114398409225129	0.828041875363057
Activated B cell	Immature  B cell	0.876849920546556	2.91442135716888e-114
Activated CD4 T cell	Immature  B cell	0.625715821095028	2.34229004269188e-38
Activated CD8 T cell	Immature  B cell	0.814607793010606	8.06355742782061e-85
Activated dendritic cell	Immature  B cell	0.620352525425353	1.67466670184648e-37
CD56bright natural killer cell	Immature  B cell	0.453526132330753	1.48064372460754e-17
CD56dim natural killer cell	Immature  B cell	0.236548985921161	0.000302189923784746
Central memory CD4 T cell	Immature  B cell	0.699832312338591	3.73222777612843e-52
Central memory CD8 T cell	Immature  B cell	0.619478964029441	2.29612164173204e-37
Effector memeory CD4 T cell	Immature  B cell	0.597787947863287	4.44071273456491e-34
Effector memeory CD8 T cell	Immature  B cell	0.839436053650017	4.9727873278746e-95
